window,family,runs,chi2_mean,chi2_std,lc_mean,lc_std,lc_min,lc_max,lc_median,inside_24_30
2-30,arctan,15,10.3711158892247,0.3339869538412016,25.627272885870124,2.765594175481401,15.63024604746294,26.341346264075774,26.34134623180039,True
2-30,exp_saturation,15,10.202249878114678,0.4232624944930467,25.366468436736117,3.081454828424564,17.776658976734858,26.534131500538365,26.534131415432107,True
2-30,gaussian_feature,15,9.80840831793578,0.8046171748101326,30.03575502920474,14.674479346395248,21.861945173885616,81.68643773545064,28.837795728790667,True
2-30,logistic,15,10.26373903825433,0.44861694312821276,24.721705220840427,3.692106602537078,15.627823536785195,26.120763975487506,26.120763935491812,True
2-30,lorentzian_feature,15,9.636900173403887,1.1010576212195267,27.906196430067588,11.7440360821915,21.635944260745944,68.57830051651784,28.366147911554577,True
2-30,rational,15,10.354589458191368,0.3185395031690366,37.1895651672799,42.90520394005542,26.11148908385185,192.28262947104957,26.111489141504528,True
2-30,soft_hinge,15,10.379103929460445,0.00015991450292080116,22.034917335329606,0.0016619433718734937,22.029218423153225,22.037072395023323,22.035320508355685,False
2-30,tanh,15,10.348736779751684,0.32919483728448956,25.421234582845322,2.7092655582606926,15.627823554421452,26.120764017989707,26.12076392602229,True
2-35,arctan,15,16.401936749884882,0.3104500963793884,24.903998447346172,3.3622265841911987,16.622631192218016,26.178054975228626,26.178054943335194,True
2-35,exp_saturation,15,16.89484346378033,1.3296355941856723,28.399337125822974,3.5535724070321035,26.329113723619404,34.09429957053206,26.329113801017463,True
2-35,gaussian_feature,15,15.113260416046009,0.2650001264194043,25.824619119164872,4.744989305471574,21.5365907067804,30.72522309101577,21.536590746220227,False
2-35,logistic,15,16.314826062945553,0.2793027177674609,24.54530290292865,3.239445142829622,16.566353757764638,25.772833625350827,25.772833525422364,True
2-35,lorentzian_feature,15,15.597972275178,0.7148184618452983,26.343318719633317,7.117394739268615,6.814822943830735,31.191987795509164,31.191987697628214,False
2-35,rational,15,16.59102029771918,0.9882945957831978,26.87254998829495,3.033499770493133,25.72305860029822,34.344336367927134,25.72305875731542,True
2-35,soft_hinge,15,17.741059175313204,0.00020486638959962193,21.958030841212842,0.0021772442938739864,21.953474214399883,21.96393359085785,21.95774033748041,False
2-35,tanh,15,16.367744483812064,0.32865461725287237,23.931537604021962,3.811844794246987,16.56635370727185,25.772833703567606,25.77283353613169,True
2-40,arctan,15,20.923245646546768,0.8384339773302438,37.126688705170814,15.236274996196698,16.309974552308983,47.53842369475259,47.53545971359392,False
