dataset,spectrum,window,runs,chi2_mean,chi2_std,lc_mean,lc_std,lc_min,lc_max,gamma_mean,gamma_std,tilt_mean
BB_full,BB,2-35,5,20.424493280789488,0.04389501852453117,455.3682560754481,880.9425406891056,16.23611594721357,2028.2512086776096,2.2611047409420917,2.075862921068276,0.16346351222107114
BB_full,BB,2-40,5,20.424493280789488,0.04389501852453117,455.3682560754481,880.9425406891056,16.23611594721357,2028.2512086776096,2.2611047409420917,2.075862921068276,0.16346351222107114
BB_full,BB,5-35,5,19.690432516064476,0.3293063057159333,52.31732395842921,22.258666691948417,27.006000646921187,72.01184847773817,176.8511660437858,305.7779846447125,0.0004480216162939892
EE_full,EE,2-35,5,40.639163737364704,0.003508128555778837,38.23222268873178,2.1308964128862433,34.492679762563206,39.692897482620424,72.90469855849018,11.081552540512666,0.0005212211145047975
EE_full,EE,2-40,5,41.27981747576888,0.06612589896780095,494.2929324053757,295.7119885673209,111.69141692537535,906.8154634901714,1.0765007812948668,0.0714925862056622,-0.26533568702944355
EE_full,EE,5-35,5,36.38131278138363,0.006337847465651867,36.282222792100754,2.518977741374246,34.44744219876212,39.29212290781362,80.2522617080699,14.115095422577374,0.0006750497057490566
TE_full,TE,2-35,5,29.236804485384862,1.9824466934905786e-07,43.42636812202146,0.5134951016099054,42.767002261508495,44.08112007013657,45.20496603216691,0.0037560454798257364,0.035324727655549386
TE_full,TE,2-40,5,26.36363441115921,0.07234995470200288,24.37196287688831,0.10281978651292488,24.325980445333272,24.555892502548236,41.74801287049835,42.80397111657873,-0.07719080362439545
TE_full,TE,5-35,5,27.420932873203764,4.173817223018461e-07,43.25704582673229,0.6466895270685596,42.174747987671914,43.837621116351386,45.348990780588174,0.0011204327279696086,0.03507213394343887
TT_full,TT,2-35,5,16.701190261626262,1.2990651722859774,27.88278682843288,3.4741186118358938,26.329113741794195,34.09747913080269,161.48376769017514,308.4270622365845,3.898197555912836
TT_full,TT,2-40,5,21.508004726678678,2.3993954425539187e-07,318.9536655156273,3.440786543726019,314.8233751814282,323.05353032347955,4.556327016810373,0.0003524189030958074,4.71547811299134
TT_full,TT,5-35,5,13.67901776111959,2.5121479338940403e-15,26.213450605057297,2.288646897838398e-08,26.213450565459752,26.213450621522092,18.521766231067716,4.1403864058933536e-07,-5.920767514113924
